2025-04-11 19:35:16 install libargon2-1:amd64 <none> 0~20171227-0.2
2025-04-11 19:35:16 status half-installed libargon2-1:amd64 0~20171227-0.2
2025-04-11 19:35:16 status unpacked libargon2-1:amd64 0~20171227-0.2
2025-04-11 19:35:16 install libdevmapper1.02.1:amd64 <none> 2:1.02.167-1ubuntu1
2025-04-11 19:35:16 status half-installed libdevmapper1.02.1:amd64 2:1.02.167-1ubuntu1
2025-04-11 19:35:16 status unpacked libdevmapper1.02.1:amd64 2:1.02.167-1ubuntu1
2025-04-11 19:35:16 install libjson-c4:amd64 <none> 0.13.1+dfsg-7ubuntu0.3
2025-04-11 19:35:16 status half-installed libjson-c4:amd64 0.13.1+dfsg-7ubuntu0.3
2025-04-11 19:35:16 status unpacked libjson-c4:amd64 0.13.1+dfsg-7ubuntu0.3
2025-04-11 19:35:16 install libcryptsetup12:amd64 <none> 2:2.2.2-3ubuntu2.4
2025-04-11 19:35:16 status half-installed libcryptsetup12:amd64 2:2.2.2-3ubuntu2.4
2025-04-11 19:35:16 status unpacked libcryptsetup12:amd64 2:2.2.2-3ubuntu2.4
2025-04-11 19:35:16 install libip4tc2:amd64 <none> 1.8.4-3ubuntu2.1
2025-04-11 19:35:16 status half-installed libip4tc2:amd64 1.8.4-3ubuntu2.1
2025-04-11 19:35:16 status unpacked libip4tc2:amd64 1.8.4-3ubuntu2.1
2025-04-11 19:35:16 install libkmod2:amd64 <none> 27-1ubuntu2.1
2025-04-11 19:35:16 status half-installed libkmod2:amd64 27-1ubuntu2.1
2025-04-11 19:35:16 status unpacked libkmod2:amd64 27-1ubuntu2.1
2025-04-11 19:35:16 install systemd-timesyncd:amd64 <none> 245.4-4ubuntu3.24
2025-04-11 19:35:16 status half-installed systemd-timesyncd:amd64 245.4-4ubuntu3.24
2025-04-11 19:35:16 status unpacked systemd-timesyncd:amd64 245.4-4ubuntu3.24
2025-04-11 19:35:16 install systemd:amd64 <none> 245.4-4ubuntu3.24
2025-04-11 19:35:16 status half-installed systemd:amd64 245.4-4ubuntu3.24
2025-04-11 19:35:17 status unpacked systemd:amd64 245.4-4ubuntu3.24
2025-04-11 19:35:17 startup packages configure
2025-04-11 19:35:17 configure libapparmor1:amd64 2.13.3-7ubuntu5.4 <none>
2025-04-11 19:35:17 status unpacked libapparmor1:amd64 2.13.3-7ubuntu5.4
2025-04-11 19:35:17 status half-configured libapparmor1:amd64 2.13.3-7ubuntu5.4
2025-04-11 19:35:17 status installed libapparmor1:amd64 2.13.3-7ubuntu5.4
2025-04-11 19:35:17 configure libcap2:amd64 1:2.32-1ubuntu0.2 <none>
2025-04-11 19:35:17 status unpacked libcap2:amd64 1:2.32-1ubuntu0.2
2025-04-11 19:35:17 status half-configured libcap2:amd64 1:2.32-1ubuntu0.2
2025-04-11 19:35:17 status installed libcap2:amd64 1:2.32-1ubuntu0.2
2025-04-11 19:35:17 configure libargon2-1:amd64 0~20171227-0.2 <none>
2025-04-11 19:35:17 status unpacked libargon2-1:amd64 0~20171227-0.2
2025-04-11 19:35:17 status half-configured libargon2-1:amd64 0~20171227-0.2
